----------------------------- 
  1.155000e+1	0.000000e+0
 1.200000e+1	1.500000e-22
 1.300000e+1	7.000000e-22
 1.500000e+1	1.130000e-21
 1.700000e+1	2.600000e-21
 1.800000e+1	3.000000e-21
 2.000000e+1	3.450000e-21
 2.100000e+1	3.500000e-21
 2.200000e+1	3.550000e-21
 2.700000e+1	3.000000e-21
 3.500000e+1	1.880000e-21
 4.000000e+1	1.390000e-21
 5.500000e+1	6.000000e-22
 6.000000e+1	5.000000e-22
 8.200000e+1	3.900000e-22
 1.020000e+2	3.500000e-22
 1.220000e+2	3.100000e-22
 1.420000e+2	2.800000e-22
-----------------------------

xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
